Marque,Modèle,Année,Kilométrage,Etat,Prix
Mini,Mini Cabriolet,2020,81105.0,Occasion,17999.0
Skoda,Superb Combi,2022,28963.0,Occasion,29999.0
Opel,Karl,2019,94985.0,Occasion,8599.0
Lexus,NX 300h,2020,34480.0,Occasion,29999.0
Volkswagen,Golf 7 SW,2020,69412.0,Occasion,17599.0
Audi,A6 Avant,2014,138645.0,Occasion,16699.0
Peugeot,308 AFFAIRE,2021,79565.0,Occasion,12999.0
Renault,Grand Scenic 3,2017,143221.0,Occasion,11999.0
Lexus,CT,2019,24807.0,Occasion,20399.0
BMW,Série 3 Touring,2022,4046.0,Occasion,35499.0
Renault,Twizy,2021,7180.0,Occasion,7499.0
Mazda,CX-3,2017,99915.0,Occasion,12999.0
Toyota,bZ4X,2024,8418.0,Occasion,31999.0
Renault,Clio,2019,97790.0,Occasion,10499.0
Peugeot,Partner Fourgon,2021,46525.0,Occasion,17999.0
Seat,Leon ST,2021,63592.0,Occasion,21999.0
Smart,Fortwo EQ,2020,22175.0,Occasion,10999.0
Citroën,Berlingo Fourgon,2020,69371.0,Occasion,14799.0
Mercedes,Classe C Break,2019,84017.0,Occasion,22999.0
Mercedes,Classe A Berline,2024,15294.0,Occasion,35499.0
Kia,Cee'd,2017,95127.0,Occasion,10799.0
Hyundai,Santa Fe,2021,62982.0,Occasion,37499.0
Ford,B-Max,2017,49862.0,Occasion,11699.0
Kia,ProCeed,2023,20290.0,Occasion,25476.0
Jeep,Grand Cherokee,2016,143201.0,Occasion,24699.0
Smart,FORTWO,2015,58640.0,Occasion,8299.0
Volkswagen,Sharan,2018,113681.0,Occasion,21937.0
Citroën,Berlingo Van,2023,18402.0,Occasion,20999.0
Audi,Q4 E-TRON,2021,46852.0,Occasion,34999.0
BMW,Série 5 Touring,2021,73094.0,Occasion,41999.0
BMW,Série 2 coupé,2019,39277.0,Occasion,24999.0
Mercedes,Classe E,2017,90355.0,Occasion,28499.0
Citroën,Jumper Fourgon,2023,10.0,Occasion,29499.0
Jaguar,E-Pace,2019,71443.0,Occasion,22999.0
Alfa,Romeo Giulia,2017,102400.0,Occasion,23999.0
Hyundai,Ioniq 6,2023,6398.0,Occasion,47999.0
Peugeot,208 ELECTRIQUE,2023,11573.0,Occasion,25499.0
Mercedes,Classe E Break,2019,150753.0,Occasion,25599.0
Toyota,Verso,2017,110730.0,Occasion,13499.0
Audi,A4 Allroad,2019,125929.0,Occasion,23078.0
Audi,A6,2020,141541.0,Occasion,27999.0
Volkswagen,Arteon,2018,129205.0,Occasion,23999.0
Mercedes,CLASSE A BERLINE,2020,32955.0,Occasion,31799.0
Opel,Insignia,2021,38414.0,Occasion,19499.0
Volkswagen,Coccinelle,2015,75782.0,Occasion,17399.0
Audi,A5 Cabriolet,2021,60843.0,Occasion,37099.0
Volkswagen,Golf,2022,61417.0,Occasion,23799.0
Opel,Movano,2022,20.0,Occasion,30099.0
Renault,Clio 4 Estate,2018,39215.0,Occasion,12999.0
Suzuki,Ignis,2024,490.0,Occasion,16999.0
Volvo,XC90,2017,71240.0,Occasion,37999.0
Renault,CLIO V,2024,3980.0,Occasion,26499.0
Skoda,Citigo,2019,36990.0,Occasion,8999.0
Honda,HR-V,2022,54040.0,Occasion,24999.0
Citroën,C4 CACTUS BUSINESS,2018,33903.0,Occasion,10999.0
Renault,Clio 5,2023,1081.0,Occasion,25299.0
Citroën,C5 Aircross,2020,59980.0,Occasion,14999.0
Peugeot,308,2018,51640.0,Occasion,10699.0
Citroën,C3,2018,81025.0,Occasion,8999.0
Fiat,500,2022,10.0,Occasion,18699.0
Citroën,C3 Aircross,2023,23472.0,Occasion,17999.0
Dacia,Sandero,2023,8587.0,Occasion,14499.0
Volkswagen,T-Roc,2023,25550.0,Occasion,23899.0
Mercedes,CITAN,2021,95561.0,Occasion,11299.0
Volkswagen,Tiguan,2015,62703.0,Occasion,15999.0
DS,DS4,2023,14564.0,Occasion,32899.0
Nissan,Juke,2024,11316.0,Occasion,18899.0
Citroën,C5 X,2023,8937.0,Occasion,21999.0
Ford,Focus,2024,7037.0,Occasion,24499.0
Skoda,KAMIQ,2020,14500.0,Occasion,19999.0
Volkswagen,Touran,2018,97902.0,Occasion,18999.0
Opel,Astra Sports Tourer,2019,80533.0,Occasion,12999.0
Fiat,Tipo SW,2020,78477.0,Occasion,14599.0
Renault,MASTER FOURGON,2023,10.0,Occasion,31499.0
Peugeot,Boxer,2023,10.0,Occasion,31499.0
Peugeot,2008,2024,8702.0,Occasion,23699.0
Toyota,C-HR,2021,34395.0,Occasion,23999.0
Audi,A3 Sportback,2023,12.0,Occasion,42699.0
Kia,Sportage,2022,41860.0,Occasion,30999.0
MG,MG4,2023,7610.0,Occasion,23299.0
Audi,Q3 Sportback,2022,22610.0,Occasion,39499.0
Peugeot,408,2024,10890.0,Occasion,24999.0
Seat,Arona,2020,21858.0,Occasion,17499.0
DS,DS7,2023,28605.0,Occasion,33499.0
Volkswagen,Caddy,2018,72891.0,Occasion,16999.0
Ford,PUMA,2020,44438.0,Occasion,18499.0
Hyundai,Kona,2022,12331.0,Occasion,21499.0
Volkswagen,T-CROSS,2023,10052.0,Occasion,22999.0
Fiat,500X,2017,64390.0,Occasion,12499.0
Citroën,C4,2017,99625.0,Occasion,9299.0
Toyota,Corolla Touring Sport,2024,440.0,Occasion,28999.0
Dacia,JOGGER,2023,15585.0,Occasion,19499.0
Citroën,C4 X,2023,6820.0,Occasion,20499.0
Volkswagen,Taigo,2023,19406.0,Occasion,19399.0
Cupra,LEON SPORTSTOURER,2023,16617.0,Occasion,29999.0
Suzuki,S-CROSS,2017,68726.0,Occasion,15999.0
Renault,Captur,2023,13252.0,Occasion,21799.0
Nissan,Qashqai,2018,66886.0,Occasion,15299.0
Renault,Arkana,2022,26352.0,Occasion,20399.0
Peugeot,5008,2017,101549.0,Occasion,15999.0
Renault,Austral,2023,15655.0,Occasion,28999.0
Peugeot,3008,2023,6267.0,Occasion,24999.0
Dacia,Duster,2023,21846.0,Occasion,24499.0
Mercedes,Classe A,2018,89750.0,Occasion,17999.0
Hyundai,Tucson,2020,34852.0,Occasion,21499.0
Opel,Mokka,2023,8.0,Occasion,25999.0
BMW,Série 1,2016,126043.0,Occasion,14299.0
Toyota,YARIS CROSS,2023,30464.0,Occasion,25199.0
Renault,Twingo 3,2017,61019.0,Occasion,11499.0
DS,DS7 CROSSBACK,2022,32850.0,Occasion,32499.0
Renault,Zoé,2020,53268.0,Occasion,13799.0
Tesla,MODEL 3,2022,38674.0,Occasion,36999.0
Renault,Clio 4,2016,79565.0,Occasion,12499.0
Renault,Mégane 4,2019,56480.0,Occasion,17299.0
Toyota,RAV 4,2018,107898.0,Occasion,19499.0
Volkswagen,Polo,2018,36657.0,Occasion,13499.0
Renault,Kadjar,2021,59592.0,Occasion,18799.0
